id,name,category,description,graphicsFile,isDefault,buildCost,constructionDays,maxRevenue,maintenanceCost,decayRate,jobsProvided,jobsRequired,energyProvided,energyRequired,educationProvided,educationRequired,foodProvided,foodRequired,housingProvided,housingRequired,healthcareProvided,healthcareRequired,culture_impact,culture_attenuation,affordability_impact,affordability_attenuation,resilience_impact,resilience_attenuation,environment_impact,environment_attenuation,noise_impact,noise_attenuation,safety_impact,safety_attenuation,civicScore
fire_station,Fire Station,civic,Emergency response services that improve city-wide safety,assets/buildings/civic/fire_station.png,TRUE,900,5,0,8,0.05,3,0,0,13,0,0,0,0,0,0,0,0,15,8,-2,12,30,8,15,12,-20,10,80,6,46
library,Library,civic,Public library providing educational and cultural resources,assets/buildings/education/library.png,TRUE,400,3,0,2,0.05,3,1,0,8,8,0,0,0,0,0,0,0,40,12,15,5,25,8,10,1,15,1,12,5,57.5
public_pool,Public Pool,civic,Community recreation and fitness facility,assets/buildings/civic/public_pool.png,TRUE,300,4,15,3,0.12,4,1,0,12,0,0,0,0,0,0,2,0,25,4,15,6,10,3,-6,2,-3,1,-10,4,12.2
park,Park,civic,Green space providing environmental and recreational benefits,assets/buildings/civic/park.png,TRUE,200,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,6,18,12,33,6,50,2,25,3,18,6,84.8
cottage,Cottage,housing,Small family home with 2 bedrooms,assets/buildings/housing/cottage.png,TRUE,250,1,10,1,0.1,0,0,0,2,0,0,0,0,2,0,0,0,12,2,7,2,8,2,6,2,11,2,5,2,34.6
apartment_complex,Apartment Complex,housing,Multi-family housing with 8 bedrooms,assets/buildings/housing/apartments.png,TRUE,800,7,80,5,0.15,1,1,0,30,0,0,0,0,10,0,0,0,18,3,45,3,18,2,-12,2,-5,2,18,2,49.8
farmers_market,Farmers Market,commercial,Local food distribution center,assets/buildings/commercial/farmers_market.png,TRUE,250,2,25,2,0.12,2,1,0,5,0,0,16,0,0,0,0,0,22,12,20,5,12,8,28,1,15,2,12,3,65.1
taqueria,Taqueria,commercial,A great little place I know,assets/buildings/commercial/taqueria.png,TRUE,700,4,30,4,0.135,6,0,0,8,0,0,8,0,0,0,0,0,16,2,15,3,10,2,8,2,10,2,12,2,48.3
elementary_school,Elementary School,education,Primary education for children ages 5-13,assets/buildings/education/elementary_school.png,TRUE,600,5,0,4,0.08,8,2,0,15,12,0,0,0,0,0,0,0,35,8,20,3,28,12,15,2,-12,3,22,5,45.5
high_school,High School,education,Secondary education for teenagers ages 14-18,assets/buildings/education/high_school.png,TRUE,1000,8,0,6,0.08,12,3,0,25,20,0,0,0,0,0,0,0,40,5,25,3,32,15,12,2,-15,3,25,5,51.6
solar_farm,Solar Farm,energy,Renewable energy generation facility,assets/buildings/energy/solar_farm.png,TRUE,1000,4,15,1,0.08,2,1,25,0,0,0,0,0,0,0,0,0,15,5,35,30,25,3,75,3,10,1,18,3,91.2
coal_plant,Coal Plant,energy,A dirty source of energy that pollutes,assets/buildings/energy/coal_plant.png,TRUE,2300,16,160,30,0.22,28,0,87,0,0,0,0,0,0,0,0,0,-15,1,25,6,20,10,-80,12,-45,10,-25,5,-47
natural_gas_plant,Natural Gas Plant,energy,Cleaner than coal but still fossil fuel,assets/buildings/energy/natural_gas_plant.png,TRUE,3700,14,220,25,0.1,20,0,133,0,0,0,0,0,0,0,0,0,-8,1,35,12,30,12,-45,6,-22,5,-15,8,-22.7
brewery,Brewery,industrial,Craft beverage production facility,assets/buildings/industrial/brewery.png,TRUE,2000,8,50,4,0.12,8,2,0,20,0,0,0,0,0,0,0,0,18,2,12,8,-10,5,-25,3,-20,2,-18,3,-26.5
skate_park,Skate Park,recreation,A great place to skate and hang out!,assets/buildings/recreation/skate_park.png,TRUE,650,5,0,1,0.0075,0,0,0,1,0,0,0,0,0,0,6,2,30,6,15,5,12,3,22,2,-18,3,20,4,41
art_school_marvel,Art School Marvel,education,"A marvel leverl building! A true show stopper and world reknown for producing best in class, cutting edge art. Center of the inernational art scene.",assets/buildings/education/art_school_marvel.png,TRUE,22000,35,500,205,0.1105,350,85,0,250,50,25,40,0,0,0,0,0,65,12,-25,8,25,2,-30,6,-12,1,15,4,10.9
art_school,Art School,education,A great place to get you creative career going,assets/buildings/education/art_school.png,TRUE,2345,9,100,22,0.0905,55,15,0,33,28,0,15,0,0,0,0,0,45,6,-10,5,10,3,-3,2,-8,1,7,2,14.5
corporate_marvel,Corporate World Headquarters,commercial,A marvel level building! There could be some shady dealings going down but the pay is incredible.,assets/buildings/commercial/corporate_marvel.png,TRUE,35000,27,620,150,0.1225,600,150,0,350,0,40,90,0,0,0,0,0,40,8,-40,10,20,2,-45,8,-15,1,20,5,-6.3
hospital,,healthcare,,assets/buildings/healthcare/hospital.png,TRUE,2650,17,62,28,0.105,90,60,0,80,0,35,15,0,0,0,60,0,31,8,15,8,40,12,-12,2,-15,2,55,5,33.3
