id,name,category,description,graphicsFile,isDefault,buildCost,constructionDays,maxRevenue,maintenanceCost,decayRate,jobsProvided,energyProvided,energyRequired,educationProvided,foodProvided,housingProvided,healthcareProvided,culture_impact,culture_attenuation,affordability_impact,affordability_attenuation,resilience_impact,resilience_attenuation,environment_impact,environment_attenuation,noise_impact,noise_attenuation,safety_impact,safety_attenuation,civicScore,InvestmentScore,Normalized Score,
fire_station,Fire Station,civic,Emergency response services that improve city-wide safety,assets/buildings/civic/fire_station.png,TRUE,300,4,0,4,0.0075,8,,15,,,2,3,3,6,-3,12,15,12,2,12,-19,12,15,9,4.8,-4.83,3,very-poor
lushpark,Park,civic,Green space providing environmental and recreational benefits,assets/buildings/civic/lushpark.png,TRUE,150,2,2,4,0.099,1,,2,,,,,4,4,-5,12,2,4,6,4,4,2,7,2,12.3,-4.38,3,very-poor
library,Library,civic,Public library providing educational and cultural resources,assets/buildings/civic/library.png,TRUE,350,3,6,2,0.004,6,,12,,,,,6,6,2,12,3,5,0,1,2,1,2,1,8.4,4.15,11,very-poor
public_pool,Public Pool,civic,Community recreation and fitness facility,assets/buildings/civic/public_pool.png,TRUE,250,3,10,6,0.015,2,,9,,,,,2,4,2,12,0,2,-5,2,-3,2,-4,3,-6.4,5.75,12,very-poor
art_museum,Art Museum,civic,Cultural institution showcasing fine arts and exhibitions,assets/buildings/civic/art_museum.png,TRUE,1500,7,40,12,0.05,10,,20,,5,,,9,7,-4,12,-8,12,-3,5,2,1,0,1,0.6,6.47,13,very-poor
bird_sanctuary,Bird Sanctuary,civic,Protected natural habitat for local and migratory bird species,assets/buildings/civic/bird_sanctuary.png,TRUE,575,6,25,8,0.008,6,,4,,,,,6,3,-3,12,3,10,2,8,-1,3,0,2,3.7,10.70,16,very-poor
corporate_marvel,Corporate World Headquarters,commercial,A marvel level building! There could be some shady dealings going down but the pay is incredible.,assets/buildings/commercial/corporate_marvel.png,TRUE,18000,21,800,35,0.095,250,,180,,35,,,7,5,-40,12,-10,10,-15,10,-4,2,-2,2,-20.6,14.04,19,very-poor
grand_department_store,Grand Department Store,commercial,Large retail establishment offering diverse merchandise and shopping experiences,assets/buildings/commercial/grand_department_store.png,TRUE,2300,11,175,12,0.01,25,,28,,,,,4,5,-5,12,-8,10,-8,10,-1,2,0,2,-5.4,25.61,29,poor
community_theatre,Community Theatre,commercial,Local performing arts venue hosting plays and concerts and cultural events,assets/buildings/commercial/community_theatre.png,TRUE,370,5,35,1,0.0077,15,,6,,,,,10,3,-2,12,2,6,1,3,-1,1,0,3,5.6,33.28,36,poor
neighborhood_grocery,Neighborhood Grocery,commercial,Mid-sized grocery store serving the local community,assets/buildings/commercial/neighborhood_grocery.png,TRUE,550,5,65,8,0.0086,6,,25,,50,,,7,3,1,12,4,6,-2,3,1,1,2,2,7.2,37.50,40,fair
