id,name,category,description,jobsProvided,jobsRequired,energyProvided,energyRequired,educationProvided,educationRequired,foodProvided,foodRequired,housingProvided,housingRequired,healthcareProvided,healthcareRequired,buildCost,constructionDays,maxRevenue,maintenanceCost,decayRatePercent,culture_effect,culture_range,affordability_effect,affordability_range,resilience_effect,resilience_range,environment_effect,environment_range,noise_effect,noise_range,safety_effect,safety_range,bedroomsAdded,graphicsFile
fire_station,Fire Station,civic,"Emergency response services that improve city-wide safety",3,0,0,5,0,0,0,0,0,0,0,0,1500,5,0,8,0.05,0.05,2,0.02,2,0.10,4,0.03,2,-0.15,2,0.25,4,0,assets/buildings/civic/fire_station.png
cottage,Cottage,housing,"Small family home with 2 bedrooms",0,0,0,2,0,0,0,0,2,0,0,0,250,1,10,1,0.1,0.05,2,0.15,2,0.05,2,0.10,2,0.05,1,0.10,2,2,assets/buildings/housing/cottage.png
apartment_complex,Apartment Complex,housing,"Multi-family housing with 8 bedrooms",1,1,0,30,0,0,0,0,10,0,0,0,800,7,80,5,0.15,0.02,2,0.20,2,0.05,2,-0.05,2,-0.10,2,0.05,2,8,assets/buildings/housing/apartments.png
farmers_market,Farmers Market,commercial,"Local food distribution center",2,1,0,5,0,0,8,0,0,0,0,0,250,2,25,2,0.12,0.08,3,0.12,2,0.06,2,0.05,2,0.02,2,0.08,2,0,assets/buildings/commercial/farmers_market.png
elementary_school,Elementary School,education,"Primary education for children ages 5-13",8,2,0,15,12,0,0,0,0,0,0,0,600,5,0,4,0.08,0.15,4,0.08,3,0.08,3,0.03,2,0.10,2,0.12,3,0,assets/buildings/education/elementary_school.png
high_school,High School,education,"Secondary education for teenagers ages 14-18",12,3,0,25,20,0,0,0,0,0,0,0,1000,8,0,6,0.08,0.18,4,0.05,3,0.10,3,0.03,2,0.05,2,0.15,3,0,assets/buildings/education/high_school.png
library,Library,civic,"Public library providing educational and cultural resources",3,1,0,8,8,0,0,0,0,0,0,0,400,3,0,2,0.05,0.25,5,0.12,3,0.08,3,0.05,2,0.15,3,0.08,2,0,assets/buildings/education/library.png
public_pool,Public Pool,civic,"Community recreation and fitness facility",4,1,0,12,0,0,0,0,0,0,2,0,300,4,15,3,0.12,0.12,3,0.10,2,0.05,2,0.08,2,0.05,2,0.08,2,0,assets/buildings/civic/public_pool.png
park,Park,civic,"Green space providing environmental and recreational benefits",0,0,0,0,0,0,0,0,0,0,0,0,200,2,0,0,0,0.12,3,0.08,2,0.05,2,0.25,4,0.15,3,0.15,3,0,assets/buildings/civic/park.png
solar_farm,Solar Farm,energy,"Renewable energy generation facility",2,1,25,0,0,0,0,0,0,0,0,0,1000,4,15,1,0.08,0.02,2,-0.05,2,0.15,3,0.30,4,0.05,2,0.03,2,0,assets/buildings/energy/solar_farm.png
brewery,Brewery,industrial,"Craft beverage production facility",8,2,0,20,0,0,0,2,0,0,0,0,2000,8,50,4,0.12,0.08,3,-0.02,2,0.03,2,-0.08,3,-0.12,2,-0.05,2,0,assets/buildings/industrial/brewery.png
